,DISEASE
DIABETE_80,DIABETE
MCM_24,MCM
DIABETE_117,DIABETE
A1A_39,A1A
GS_12,GS
DIABETE_63,DIABETE
GS_8,GS
MCM_23,MCM
A1A_93,A1A
DIABETE_69,DIABETE
DIABETE_19,DIABETE
DIABETE_143,DIABETE
GS_26,GS
GS_5,GS
DIABETE_166,DIABETE
DIABETE_125,DIABETE
A1A_108,A1A
DIABETE_101,DIABETE
DIABETE_153,DIABETE
DIABETE_174,DIABETE
DIABETE_59,DIABETE
A1A_6,A1A
A1A_96,A1A
DIABETE_81,DIABETE
DIABETE_149,DIABETE
DIABETE_129,DIABETE
A1A_5,A1A
DIABETE_155,DIABETE
DIABETE_96,DIABETE
A1A_101,A1A
DIABETE_82,DIABETE
A1A_94,A1A
DIABETE_79,DIABETE
NALD_13,NALD
DIABETE_17,DIABETE
A1A_42,A1A
A1A_56,A1A
A1A_13,A1A
DIABETE_113,DIABETE
DIABETE_33,DIABETE
GS_10,GS
NALD_36,NALD
NALD_1,NALD
DIABETE_8,DIABETE
A1A_53,A1A
A1A_44,A1A
NALD_6,NALD
NALD_38,NALD
NALD_14,NALD
DIABETE_152,DIABETE
MCM_12,MCM
A1A_119,A1A
A1A_76,A1A
A1A_19,A1A
NALD_37,NALD
A1A_34,A1A
A1A_45,A1A
DIABETE_104,DIABETE
A1A_72,A1A
DIABETE_146,DIABETE
NALD_19,NALD
NALD_12,NALD
NALD_11,NALD
DIABETE_21,DIABETE
A1A_12,A1A
MCM_17,MCM
GS_3,GS
A1A_62,A1A
DIABETE_148,DIABETE
DIABETE_97,DIABETE
GS_21,GS
A1A_15,A1A
NALD_15,NALD
DIABETE_10,DIABETE
DIABETE_71,DIABETE
A1A_7,A1A
A1A_70,A1A
A1A_25,A1A
A1A_61,A1A
DIABETE_86,DIABETE
A1A_22,A1A
DIABETE_114,DIABETE
DIABETE_173,DIABETE
A1A_69,A1A
MCM_5,MCM
DIABETE_20,DIABETE
DIABETE_112,DIABETE
DIABETE_126,DIABETE
MCM_1,MCM
A1A_80,A1A
DIABETE_39,DIABETE
A1A_123,A1A
DIABETE_93,DIABETE
NALD_29,NALD
GS_27,GS
A1A_4,A1A
DIABETE_57,DIABETE
NALD_17,NALD
A1A_65,A1A
DIABETE_52,DIABETE
DIABETE_105,DIABETE
A1A_68,A1A
DIABETE_165,DIABETE
DIABETE_170,DIABETE
NALD_4,NALD
MCM_10,MCM
DIABETE_50,DIABETE
DIABETE_7,DIABETE
A1A_105,A1A
GS_25,GS
DIABETE_116,DIABETE
NALD_28,NALD
DIABETE_55,DIABETE
DIABETE_13,DIABETE
A1A_54,A1A
A1A_28,A1A
DIABETE_73,DIABETE
A1A_100,A1A
A1A_78,A1A
A1A_8,A1A
A1A_81,A1A
MCM_25,MCM
GS_2,GS
MCM_22,MCM
A1A_35,A1A
NALD_35,NALD
NALD_31,NALD
A1A_66,A1A
A1A_125,A1A
DIABETE_168,DIABETE
DIABETE_111,DIABETE
DIABETE_53,DIABETE
A1A_16,A1A
NALD_8,NALD
A1A_36,A1A
A1A_0,A1A
DIABETE_6,DIABETE
DIABETE_72,DIABETE
DIABETE_58,DIABETE
A1A_64,A1A
DIABETE_46,DIABETE
DIABETE_108,DIABETE
A1A_89,A1A
DIABETE_11,DIABETE
NALD_34,NALD
DIABETE_45,DIABETE
DIABETE_115,DIABETE
DIABETE_118,DIABETE
A1A_18,A1A
MCM_16,MCM
A1A_17,A1A
DIABETE_5,DIABETE
MCM_6,MCM
DIABETE_138,DIABETE
DIABETE_9,DIABETE
DIABETE_3,DIABETE
DIABETE_16,DIABETE
DIABETE_128,DIABETE
GS_9,GS
A1A_104,A1A
A1A_79,A1A
A1A_110,A1A
A1A_67,A1A
DIABETE_119,DIABETE
A1A_121,A1A
A1A_48,A1A
DIABETE_54,DIABETE
DIABETE_135,DIABETE
DIABETE_76,DIABETE
A1A_30,A1A
A1A_95,A1A
A1A_3,A1A
DIABETE_15,DIABETE
DIABETE_109,DIABETE
A1A_85,A1A
A1A_43,A1A
A1A_27,A1A
DIABETE_78,DIABETE
DIABETE_68,DIABETE
DIABETE_163,DIABETE
DIABETE_88,DIABETE
DIABETE_23,DIABETE
MCM_13,MCM
DIABETE_147,DIABETE
DIABETE_67,DIABETE
MCM_21,MCM
DIABETE_32,DIABETE
A1A_50,A1A
DIABETE_25,DIABETE
DIABETE_56,DIABETE
A1A_40,A1A
A1A_83,A1A
A1A_11,A1A
GS_17,GS
A1A_31,A1A
DIABETE_154,DIABETE
GS_6,GS
GS_28,GS
NALD_2,NALD
NALD_5,NALD
DIABETE_66,DIABETE
NALD_20,NALD
GS_16,GS
DIABETE_137,DIABETE
DIABETE_2,DIABETE
A1A_26,A1A
A1A_118,A1A
NALD_16,NALD
A1A_126,A1A
DIABETE_47,DIABETE
A1A_77,A1A
A1A_117,A1A
DIABETE_134,DIABETE
DIABETE_120,DIABETE
DIABETE_87,DIABETE
DIABETE_38,DIABETE
NALD_9,NALD
A1A_90,A1A
MCM_19,MCM
GS_1,GS
DIABETE_164,DIABETE
DIABETE_31,DIABETE
A1A_47,A1A
DIABETE_18,DIABETE
A1A_46,A1A
DIABETE_84,DIABETE
MCM_11,MCM
DIABETE_158,DIABETE
A1A_38,A1A
DIABETE_124,DIABETE
A1A_58,A1A
A1A_10,A1A
A1A_112,A1A
DIABETE_99,DIABETE
DIABETE_110,DIABETE
GS_4,GS
DIABETE_132,DIABETE
A1A_113,A1A
MCM_9,MCM
MCM_26,MCM
GS_14,GS
GS_18,GS
A1A_124,A1A
A1A_33,A1A
DIABETE_49,DIABETE
DIABETE_157,DIABETE
A1A_88,A1A
A1A_24,A1A
GS_24,GS
A1A_55,A1A
DIABETE_48,DIABETE
MCM_7,MCM
DIABETE_106,DIABETE
GS_11,GS
DIABETE_159,DIABETE
DIABETE_121,DIABETE
DIABETE_42,DIABETE
DIABETE_77,DIABETE
GS_22,GS
NALD_7,NALD
NALD_30,NALD
DIABETE_172,DIABETE
DIABETE_139,DIABETE
DIABETE_160,DIABETE
DIABETE_64,DIABETE
DIABETE_92,DIABETE
DIABETE_75,DIABETE
DIABETE_24,DIABETE
A1A_9,A1A
MCM_8,MCM
DIABETE_1,DIABETE
DIABETE_90,DIABETE
A1A_98,A1A
DIABETE_161,DIABETE
A1A_49,A1A
A1A_97,A1A
NALD_24,NALD
DIABETE_144,DIABETE
A1A_91,A1A
MCM_2,MCM
DIABETE_162,DIABETE
DIABETE_122,DIABETE
A1A_73,A1A
DIABETE_169,DIABETE
DIABETE_60,DIABETE
DIABETE_94,DIABETE
A1A_122,A1A
DIABETE_167,DIABETE
DIABETE_40,DIABETE
A1A_115,A1A
DIABETE_151,DIABETE
NALD_27,NALD
A1A_41,A1A
DIABETE_22,DIABETE
DIABETE_30,DIABETE
MCM_20,MCM
A1A_84,A1A
DIABETE_37,DIABETE
A1A_111,A1A
